Key,English,Vietnamese,Japanese,Korean,Chinese,Spanish,Portuguese,Italian,German,French,Russian
STRING_REVIVE_MORE_TIME_OR_USE_REMOVE_TIMER,Continue with more time Or use Remove Timer,Tiếp tục với thêm thời gian hoặc sử dụng Gói Loại Bỏ Hẹn Giờ,もっと時間を追加するか、タイマー削除を使用,더 많은 시간을 추가하거나 타이머 제거를 사용,继续添加更多时间或使用去除计时功能,Continuar con más tiempo o usar Eliminar el Temporizador,Continuar com mais tempo ou usar Remover o Temporizador,Continua con più tempo o usa Rimuovi Timer,Fortsetzen mit mehr Zeit oder Verwenden Sie Entfernen des Timers,Continuer avec plus de temps ou utiliser Supprimer le Minuteur,Продолжить с большим временем или использовать Удалить Таймер
STRING_CHRISTMAS_WELCOME_POPUP_1,Play Christmas event levels and get tons of gifts,Chơi các màn sự kiện Giáng Sinh và nhận vô số quà tặng,クリスマスイベントのレベルをプレイしてたくさんのギフトを手に入れよう,크리스마스 이벤트 레벨을 플레이하고 많은 선물을 받으세요,玩圣诞活动关卡，领取大量礼物,Juega niveles del evento navideño y consigue montones de regalos,Jogue os níveis do evento de Natal e ganhe muitos presentes,Gioca ai livelli dell'evento natalizio e ricevi tanti regali,Spielen Sie Weihnachts-Event-Level und erhalten Sie viele Geschenke,Jouez aux niveaux de l'événement de Noël et obtenez des tonnes de cadeaux,Играйте в уровни рождественского события и получайте множество подарков
STRING_EVENT_COMMING_SOON,Event is coming ...,Sự kiện sắp diễn ra ...,イベントがやって来ます ...,이벤트가 곧 옵니다 ...,活动即将到来 ...,El evento está llegando ...,O evento está chegando ...,L'evento sta arrivando ...,Das Ereignis kommt ...,L'événement approche ...,Событие скоро наступит ...
STRING_NEW_LEVEL_COMMING_SOON,New levels incomming...,Các cấp độ mới đang đến...,新しいレベルが間もなく到着します...,새로운 레벨이 다가오고 있습니다...,新关卡即将到来...,Nuevos niveles en camino...,Novos níveis estão chegando...,Nuovi livelli in arrivo...,Neue Ebenen kommen bald...,Nouveaux niveaux à venir...,Новые уровни скоро появятся...
STRING_EQUIP,Equip,Trang bị,装備,장착,装备,Equipar,Equipar,Equipaggia,Ausrüsten,Équiper,Экипировать
STRING_EQUIP_DESCRIPTION,"Congratulations, you own a new item!","Chúc mừng, bạn sở hữu một vật phẩm mới!",おめでとうございます、新しいアイテムを手に入れました！,축하합니다! 새 아이템을 소유하셨습니다!,恭喜你，你获得了一件新物品！,"¡Felicidades, tienes un nuevo artículo!","Parabéns, você possui um novo item!","Congratulazioni, possiedi un nuovo oggetto!","Herzlichen Glückwunsch, Sie besitzen einen neuen Gegenstand!","Félicitations, vous possédez un nouvel objet !","Поздравляем, у вас есть новый предмет!"
STRING_PREMIUM_REWARD_TITLE,PREMIUM REWARDS,PHẦN THƯỞNG CAO CẤP,プレミアムリワード,프리미엄 보상,高级奖励,RECOMPENSAS PREMIUM,RECOMPENSAS PREMIUM,RICOMPENSE PREMIUM,PREMIUM-BELONUNGEN,RÉCOMPENSES PREMIUM,ПРЕМИУМ НАГРАДЫ
STRING_FREE_REWARD_TITLE,FREE REWARDS,PHẦN THƯỞNG MIỄN PHÍ,無料リワード,무료 보상,免费奖励,RECOMPENSAS GRATIS,RECOMPENSAS GRATUITAS,RICOMPENSE GRATUITE,KOSTENLOSE BELONUNGEN,RÉCOMPENSES GRATUITES,БЕСПЛАТНЫЕ НАГРАДЫ
STRING_CLAIM_TITLE,Claim,Nhận,請求する,청구,领取,Reclamar,Reivindicar,Rivendicare,Beanspruchen,Réclamer,Получить
STRING_UNLOCK_ITEM_BY_LEVEL_DESCRIPTION,Claim at Level {0},Nhận ở Level {0},レベル{0}で請求,레벨 {0}에서 청구,在等级 {0} 领取,Reclamar en el Nivel {0},Reivindicar no Nível {0},Rivendicare al Livello {0},Beanspruchen auf Stufe {0},Réclamer au niveau {0},Получить на уровне {0}
STRING_UNLOCK_ITEM_BY_CHRISTMAS_EVENT_DESCRIPTION,Claim at Christmas event,Nhận ở event Christmas,クリスマスイベントで請求,크리스마스 이벤트에서 청구,在圣诞活动领取,Reclamar en el evento de Navidad,Reivindicar no evento de Natal,Rivendicare all'evento di Natale,Beanspruchen beim Weihnachtsevent,Réclamer à l'événement de Noël,Получить на рождественском мероприятии
STRING_DO_NOT_SHOW_AGAIN,Do not show again,Không hiển thị lại,再表示しない,다시 표시하지 않음,不再显示,No mostrar de nuevo,Não mostrar novamente,Non mostrare più,Nicht erneut anzeigen,Ne plus afficher,Больше не показывать
STRING_EVENT_EXPIRE_TIME,Event ends in {0},Sự kiện kết thúc sau {0},イベントは{0}後に終了します,이벤트는 {0} 후에 종료됩니다,活动将在 {0} 后结束,El evento termina en {0},O evento termina em {0},L'evento termina in {0},Das Ereignis endet in {0},L'événement se termine dans {0},Событие закончится через {0}
STRING_START,Start,Bắt đầu,スタート,시작,开始,Comenzar,Iniciar,Inizia,Starten,Démarrer,Начать
