Key,English,Vietnamese,Japanese,Korean,Chinese,Spanish,Portuguese,Italian,German,French,Russian
STRING_CLEANING_SNEAKER_HINT_USE_CLIPS,Use clips to hang shoes on a clothesline after washing,Dùng kẹp để treo giày lên dây phơi sau khi giày đã được giặt sạch,洗った後、クリップを使って靴を物干しに掛ける,세탁 후 클립을 사용하여 신발을 옷걸이에 걸기,洗后使用夹子将鞋子挂在晾衣线上,Usa clips para colgar los zapatos en un tendedero después de lavarlos,Use clipes para pendurar os sapatos no varal após a lavagem,Usa delle mollette per appendere le scarpe al filo dopo il lavaggio,"Clips verwenden, um die Schuhe nach dem Waschen auf einer Wäscheleine aufzuhängen",Utilisez des pinces pour accrocher les chaussures sur un fil à linge après les avoir lavées,"Используйте прищепки, чтобы повесить обувь на веревку для одежды после стирки"
STRING_CLEAN_VEGETABLE_1,Use the stopper before turning on the faucet and remove the stopper after washing,Sử dụng nút chặn trước khi mở vòi nước và tháo nút chặn sau khi rửa xong,蛇口を開ける前にストッパーを使い、洗った後にストッパーを取り外してください。,"수도를 켜기 전에 스토퍼를 사용하고, 세탁 후에는 스토퍼를 제거하세요.",在打开水龙头之前使用塞子，洗完后取下塞子。,Usa el tapón antes de abrir el grifo y retira el tapón después de lavar.,Use o tampão antes de ligar a torneira e retire o tampão após a lavagem.,Usa il tappo prima di accendere il rubinetto e rimuovi il tappo dopo aver lavato.,"Verwende den Stöpsel, bevor du den Wasserhahn öffnest, und entferne den Stöpsel nach dem Waschen.",Utilisez le bouchon avant d'ouvrir le robinet et retirez le bouchon après le lavage.,"Используйте пробку перед тем, как включить кран, и уберите пробку после мытья."
STRING_CLEAN_VEGETABLE_2,Drag them all off the screen,Kéo tất cả chúng ra khỏi màn hình,すべて画面からドラッグしてください。,모든 것을 화면에서 끌어내리세요.,把它们全部拖出屏幕。,Arrástralos todos fuera de la pantalla.,Arraste todos para fora da tela.,Trascinali tutti fuori dallo schermo.,Ziehe sie alle vom Bildschirm weg.,Faites-les tous glisser hors de l'écran.,Перетащите их всех с экрана.
STRING_CLEAN_VEGETABLE_3,Sharpen knife before use,Mài dao trước khi sử dụng,使用前にナイフを研いでください。,사용하기 전에 칼을 갈아주세요.,使用前请先磨刀。,Afile el cuchillo antes de usarlo.,Afiar a faca antes de usar.,Affila il coltello prima dell'uso.,Schärfe das Messer vor der Benutzung.,Aiguisez le couteau avant de l'utiliser.,Наточите нож перед использованием.
STRING_CLEAN_GRILL1,Remove old grills then clean the grill in the order below,Loại bỏ vỉ nướng cũ sau đó làm sạch vỉ nướng theo thứ tự dưới đây,古いグリルを取り外し、以下の順序でグリルを掃除します,오래된 그릴을 제거한 후 아래 순서대로 그릴을 청소하세요.,取下旧烤架，然后按以下顺序清洁烤架,Retire las parrillas viejas y luego límpielas en el orden siguiente,Retire as grelhas antigas e limpe-as pela ordem abaixo,"Rimuovere le vecchie griglie, quindi pulire la griglia nell'ordine riportato di seguito",Entfernen Sie alte Grills und reinigen Sie den Grill dann in der unten angegebenen Reihenfolge,Retirez les anciennes grilles puis nettoyez la grille dans l'ordre ci-dessous.,"Снимите старые грили, затем очистите их в порядке, указанном ниже."
STRING_CLEAN_GRILL2,Cleaning liquid needs to be used twice,Chất lỏng làm sạch cần được sử dụng hai lần,洗浄液は 2 回使用する必要があります,세척액은 두 번 사용해야 합니다.,清洁液需要使用两次,El líquido de limpieza debe usarse dos veces.,O líquido de limpeza precisa de ser usado duas vezes,Il liquido detergente deve essere utilizzato due volte,Reinigungsmittel muss zweimal verwendet werden,Le liquide de nettoyage doit être utilisé deux fois,Чистящую жидкость необходимо использовать дважды.
STRING_LADY_IN_CHAOS_1,Sweep away spider webs with a feather duster,Quét mạng nhện bằng chổi lông vũ,羽根ぼうきで蜘蛛の巣を払い落とす,깃털 살포기로 거미줄을 쓸어내세요,用鸡毛掸子扫去蜘蛛网,Barre las telarañas con un plumero,Varrer teias de aranha com um espanador,Spazza via le ragnatele con un piumino,Spinnweben mit einem Staubwedel wegfegen,Balayez les toiles d'araignées avec un plumeau,Смахните паутину метлой из перьев.
STRING_LADY_IN_CHAOS_2,Arrange items in the correct position,Sắp xếp đồ vật vào đúng vị trí,アイテムを正しい位置に配置,항목을 올바른 위치에 정렬,将物品摆放到正确的位置,Organizar los elementos en la posición correcta.,Organize os artigos na posição correta,Disporre gli oggetti nella posizione corretta,Gegenstände in der richtigen Position anordnen,Disposer les objets dans la bonne position,Расположите предметы в правильном положении
STRING_TAYLOR_HAIR_1,Need to rinse with a shower after washing and conditioning,Cần xả nước lại bằng vòi sen sau khi gội và xả,洗顔とコンディショニングの後はシャワーで洗い流す必要があります,세탁 및 컨디셔닝 후에는 샤워로 헹궈야 합니다.,清洗和调理后需要用淋浴冲洗,Necesidad de enjuagarse con una ducha después del lavado y acondicionamiento.,Necessita de enxaguar com chuveiro após lavar e condicionar,Necessario risciacquare con la doccia dopo il lavaggio e il condizionamento,Nach dem Waschen und Spülen muss es unter der Dusche ausgespült werden.,Besoin de rincer sous une douche après le lavage et le conditionnement,Необходимо промыть под душем после мытья и кондиционирования.
STRING_WATER_RESOURCE_1,"Unplug the power cord, remove the old water tank, remove the old water tray and start cleaning","Rút dây nguồn, tháo bình nước cũ, tháo khay nước cũ ra và bắt đầu vệ sinh",電源コードを抜き、古い水タンクと古い水トレイを取り外して掃除を始めます,"전원 코드를 뽑고, 기존 물통을 분리한 후, 기존 물받이를 분리하고 청소를 시작하세요.",拔掉电源线，取下旧水箱，取下旧水盘，开始清洗,"Desenchufe el cable de alimentación, retire el tanque de agua viejo, retire la bandeja de agua vieja y comience a limpiar","Desligue o cabo de alimentação, retire o depósito de água antigo, retire a bandeja de água antiga e comece a limpar","Scollegare il cavo di alimentazione, rimuovere il vecchio serbatoio dell'acqua, rimuovere il vecchio vassoio dell'acqua e iniziare a pulire","Ziehen Sie das Netzkabel ab, entfernen Sie den alten Wassertank, entfernen Sie die alte Wasserschale und beginnen Sie mit der Reinigung","Débranchez le cordon d'alimentation, retirez l'ancien réservoir d'eau, retirez l'ancien bac à eau et commencez le nettoyage.","Отключите шнур питания, снимите старый резервуар для воды, снимите старый поддон для воды и начните очистку."
STRING_WATER_RESOURCE_2,Use machine rinse water after cleaning the outside,Dùng nước xả máy sau khi vệ sinh bên ngoài,外側を掃除した後、洗濯機のすすぎ水を使用します,외부 청소 후 기계 헹굼수를 사용하세요.,清洗完外部后用机器冲洗水,Utilice agua de enjuague a máquina después de limpiar el exterior.,Utilize água de enxaguamento na máquina depois de limpar a parte exterior,Utilizzare l'acqua di risciacquo della macchina dopo aver pulito l'esterno,Verwenden Sie nach der Reinigung der Außenseite das Spülwasser der Maschine,Utilisez de l'eau de rinçage en machine après avoir nettoyé l'extérieur,Используйте воду для ополаскивания машины после внешней очистки.
STRING_WATER_RESOURCE_3,Reconnect the power cord and drain the water after rinsing,Cắm lại dây nguồn và xả nước sau khi rửa,電源コードを再接続し、すすぎ後に水を排出します,전원 코드를 다시 연결하고 헹군 후 물을 빼세요.,重新连接电源线，冲洗后排干水,Vuelva a conectar el cable de alimentación y drene el agua después del enjuague.,Volte a ligar o cabo de alimentação e drene a água após enxaguar,Ricollegare il cavo di alimentazione e scaricare l'acqua dopo il risciacquo,Schließen Sie das Netzkabel wieder an und lassen Sie das Wasser nach dem Spülen ab,Rebranchez le cordon d'alimentation et vidangez l'eau après le rinçage.,Подсоедините шнур питания и слейте воду после полоскания.
STRING_RABBIT_HOUSE_1,Arrange objects in the right place,Sắp xếp các đồ vật vào đúng vị trí,正しい場所にオブジェクトを配置してください,올바른 위치에 물건을 배치하세요,将物品摆放在正确的位置,Coloca los objetos en el lugar correcto,Coloque os objetos no lugar certo,Posiziona gli oggetti al posto giusto,Ordne die Gegenstände am richtigen Ort an,Dispose les objets au bon endroit,Разместите предметы в правильном месте
STRING_RABBIT_HOUSE_2,Sow seeds in pots,Gieo hạt giống vào chậu,鉢に種をまく,화분에 씨앗을 심으세요,在花盆里播种种子,Siembra las semillas en las macetas,Plante as sementes nos vasos,Semina i semi nei vasi,Säe die Samen in die Töpfe,Semez les graines dans les pots,Посейте семена в горшки
STRING_RABBIT_HOUSE_3,Use a watering can to water,Dùng bình nước để tưới nước,じょうろを使って水をやる,물뿌리개를 사용해 물을 주세요,用浇水壶浇水,Usa una regadera para regar,Use uma regadora para regar,Usa un annaffiatoio per annaffiare,"Benutze eine Gießkanne, um zu gießen",Utilise un arrosoir pour arroser,Используйте лейку для полива
STRING_RABBIT_HOUSE_4,Feed the rabbits after the carrots have sprouted,Cho thỏ ăn sau khi cà rốt mọc lên,にんじんが芽を出したら、うさぎに餌をあげてください,당근이 자란 후에 토끼에게 먹이를 주세요,在胡萝卜发芽后，给兔子喂食,Alimenta a los conejos después de que las zanahorias hayan brotado,Alimente os coelhos depois que as cenouras tiverem brotado,Dai da mangiare ai conigli dopo che le carote sono germogliate,"Füttere die Kaninchen, nachdem die Karotten gekeimt sind",Nourris les lapins après que les carottes aient germé,"Покормите кроликов после того, как морковка проросла"
STRING_CLEAN_TABLET_1,Clean the screen and replace the tempered glass by following these steps,Thực hiện vệ sinh màn hình và thay kính cường lực lần lượt theo các bước sau,画面を掃除し、強化ガラスを交換するには、以下の手順に従ってください,화면을 청소하고 강화 유리를 교체하려면 다음 단계를 따라 주세요,请按照以下步骤清洁屏幕并更换钢化玻璃,Limpia la pantalla y reemplaza el cristal templado siguiendo estos pasos,Limpe a tela e substitua o vidro temperado seguindo os seguintes passos,Pulisci lo schermo e sostituisci il vetro temperato seguendo questi passaggi,"Reinige den Bildschirm und tausche das gehärtete Glas, indem du die folgenden Schritte befolgst",Nettoyez l'écran et remplacez le verre trempé en suivant ces étapes,"Очистите экран и замените закаленное стекло, следуя этим шагам"
STRING_CLEAN_TABLET_2,Press the Home button in the final step to complete,Nhấn nút Home ở bước cuối cùng để hoàn thành,最後のステップでホームボタンを押して完了します,마지막 단계에서 홈 버튼을 눌러 완료합니다,在最后一步按下主页按钮以完成,Presiona el botón de inicio en el último paso para completar,Pressione o botão Home no último passo para concluir,Premi il pulsante Home nell'ultimo passaggio per completare,"Drücke die Home-Taste im letzten Schritt, um abzuschließen",Appuyez sur le bouton Accueil à la dernière étape pour terminer,"Нажмите кнопку «Домой» на последнем шаге, чтобы завершить"
STRING_HORSESHOE_REPAIR_1,Secure the leg cuffs and install the locking screws before replacing the horseshoe,Đóng còng chân và lắp ốc cố định trước khi thay móng ngựa,脚のカフを締めて、馬蹄を交換する前に固定ネジを取り付けてください,다리를 고정하고 말굽을 교체하기 전에 고정 나사를 장착하세요,固定脚环并安装锁定螺丝，然后再更换马蹄,Coloca las esposas en las piernas y fija los tornillos antes de cambiar la herradura,Coloque as algemas nos pés e fixe os parafusos antes de substituir a ferradura,Fissa le manette ai piedi e installa le viti di fissaggio prima di sostituire il ferro di cavallo,"Leg die Fußfesseln an und befestige die Schrauben, bevor du das Hufeisen wechselst",Fixe les menottes aux jambes et installe les vis de fixation avant de remplacer le fer à cheval,Закрепите наручники на ногах и установите фиксирующие винты перед заменой подковы
STRING_HALLOWEEN_PALANQUIN_1,Clean dust and cobwebs with a broom,Làm sạch bụi và mạng nhện bằng chổi,ほうきを使ってほこりとクモの巣を掃除する,빗자루로 먼지와 거미줄을 청소하세요,用扫帚清理灰尘和蜘蛛网,Limpia el polvo y las telarañas con una escoba,Limpe a poeira e as teias de aranha com uma vassoura,Pulisci la polvere e le ragnatele con una scopa,Reinige den Staub und die Spinnweben mit einem Besen,Nettoie la poussière et les toiles d'araignée avec un balai,Очистите пыль и паутину метлой
STRING_HALLOWEEN_PALANQUIN_2,Use a knife to carve out a pumpkin and use a match to light it,Dùng dao để khoét và dùng diêm để thắp sáng bí ngô,ナイフを使ってカボチャをくり抜き、マッチで灯してください,칼을 사용해 호박을 조각내고 성냥으로 점화하세요,用刀子雕刻南瓜，然后用火柴点亮它,Usa un cuchillo para tallar una calabaza y utiliza una cerilla para encenderla,Use uma faca para esculpir uma abóbora e use um fósforo para acendê-la,Usa un coltello per intagliare una zucca e usa un fiammifero per accenderla,"Benutze ein Messer, um einen Kürbis auszuhöhlen, und benutze ein Streichholz, um ihn anzuzünden",Utilise un couteau pour creuser une citrouille et utilise une allumette pour l'allumer,"Используй нож, чтобы вырезать тыкву, и спичку, чтобы её зажечь"
STRING_CANDY_BOX_1,Arrange the candies in the correct positions,Sắp xếp kẹo vào đúng vị trí,キャンディを正しい位置に配置してください,사탕을 올바른 위치에 배치하세요,将糖果放在正确的位置,Organiza los dulces en las posiciones correctas,Organize os doces nas posições corretas,Sistema le caramelle nei posti giusti,Ordne die Süßigkeiten an die richtigen Positionen,Arrangez les bonbons aux bons endroits,Уложите конфеты на правильные места
STRING_LIPSTICK_1,Fix the damaged lipstick in order,Sửa son môi đã hỏng theo thứ tự,壊れたリップスティックを順番に修理してください,손상된 립스틱을 순서대로 고쳐주세요,按照顺序修复损坏的口红,Repara el lápiz labial dañado en orden,Conserte o batom danificado na ordem,Ripara il rossetto danneggiato in ordine,Repariere den beschädigten Lippenstift in der richtigen Reihenfolge,Répare le rouge à lèvres endommagé dans l'ordre,Почини повреждённую помаду в порядке
STRING_GHOST_BRIDE_1,Ghost Bride Makeup in Order,Trang điểm cho cô dâu ma theo thứ tự,ゴーストブライドメイクの順序,유령 신부 메이크업 순서,鬼新娘化妆顺序,Maquillaje de Novia Fantasma en Orden,Maquiagem da Noiva Fantasma em Ordem,Trucco della Sposa Fantasma in Ordine,Make-up der Geisterbraut in Reihenfolge,Maquillage de la Mariée Fantôme dans l'Ordre,Макияж Призрачной Невесты по Порядку
STRING_HALLOWEEN_TOILET_1,Clean the toilet in order,Vệ sinh làm sạch toilet theo thứ tự,トイレを順番に掃除してください,화장실을 순서대로 청소하세요,按顺序清洁厕所,Limpia el baño en orden,Limpe o banheiro na ordem,Pulisci il bagno in ordine,Reinige die Toilette der Reihe nach,Nettoie les toilettes dans l'ordre,Уберите туалет по порядку
STRING_ARRANGE_CHARACTER_AND_OBJECT,Arrange the characters and objects in the correct place,Sắp xếp các nhân vật và đồ vật vào đúng vị trí,キャラクターとオブジェクトを正しい場所に配置してください,캐릭터와 객체를 올바른 위치에 배치하세요,将角色和物品安排在正确的位置,Coloca los personajes y objetos en el lugar correcto,Arranje os personagens e objetos no lugar correto,Posiziona i personaggi e gli oggetti nel posto giusto,Ordne die Charaktere und Objekte am richtigen Platz an,Disposez les personnages et les objets au bon endroit,Разместите персонажей и объекты в правильном месте
STRING_MAGIC_SCROLL_1,Arrange objects in their proper places,Sắp xếp các vật vào đúng vị trí,オブジェクトを正しい場所に配置してください,물체를 올바른 위치에 배치하세요,将物品放置在正确的位置,Coloca los objetos en sus lugares correctos,Arrume os objetos em seus lugares adequados,Sistema gli oggetti nei loro posti giusti,Ordne die Objekte an ihren richtigen Plätzen,Arrangez les objets à leurs emplacements appropriés,Расположите объекты на своих местах
STRING_MUMMY_CLEANING_1,"Use tweezers to catch the scorpion, then drop it into the jar","Bắt bọ cạp bằng kẹp, sau đó thả bọ cap vào lọ",ピンセットを使ってサソリをつかみ、瓶の中に落としてください,"핀셋을 사용하여 전갈을 잡고, 그 후 병에 떨어뜨리세요",用镊子抓住蝎子，然后把它放进瓶子里,Usa pinzas para atrapar el escorpión y luego déjalo caer en el frasco,Use pinças para pegar o escorpião e depois coloque-o no frasco,"Usa le pinzette per prendere lo scorpione, poi fallo cadere nel barattolo","Verwende eine Pinzette, um den Skorpion zu fangen, und lasse ihn dann ins Glas fallen","Utilisez des pincettes pour attraper le scorpion, puis laissez-le tomber dans le bocal","Используйте пинцет, чтобы поймать скорпиона, а затем бросьте его в банку"
STRING_CLEAN_HALLOWEN_MIRROR_1,Restore the mirror in the order of the steps,Phục hồi gương theo thứ tự các bước,手順の順番で鏡を修復する,단계를 순서대로 거울을 복원하다,按照步骤的顺序恢复镜子,Restaurar el espejo en el orden de los pasos,Restaurar o espelho na ordem dos passos,Ripristinare lo specchio nell'ordine dei passaggi,Den Spiegel in der Reihenfolge der Schritte wiederherstellen,Restaurer le miroir dans l'ordre des étapes,Восстановите зеркало в порядке шагов (Vosstanovite zerkalo v poryadke shagov)
STRING_CLEAN_HALLOWEN_MIRROR_2,Arrange the powder jars into the tray.,Sắp xếp các lọ phấn vào khay,粉の瓶をトレイに並べる,파우더 병을 쟁반에 정리하다,将粉末瓶排列到托盘中,Coloca los frascos de polvo en la bandeja,Arrume os potes de pó na bandeja,Disporre i barattoli di polvere nel vassoio,Ordnen Sie die Pulvergläser in das Tablett ein,Disposez les pots de poudre dans le plateau,Расставьте баночки с порошком на поднос
STRING_EATING_CRAB_1,Use scissors to cut the crab's legs and belly,Dùng kéo để cắt chân và bụng cua,ハサミを使ってカニの脚と腹を切る,가위로 게의 다리와 배를 자르다,用剪刀剪开螃蟹的腿和腹部,Usa tijeras para cortar las patas y el vientre del cangrejo,Use uma tesoura para cortar as pernas e o ventre do caranguejo,Usa le forbici per tagliare le zampe e il ventre del granchio,"Verwenden Sie eine Schere, um die Beine und den Bauch der Krabbe zu schneiden",Utilisez des ciseaux pour couper les pattes et le ventre du crabe,"Используйте ножницы, чтобы разрезать ноги и живот краба"
STRING_EATING_CRAB_2,Use a spoon to scoop out the roe and meat from the crab's body,Dùng muỗng để lấy gạch và thịt trong thân cua,スプーンを使ってカニの体から卵巣と肉をすくい出す,숟가락으로 게의 몸에서 알과 살을 떠내다,用勺子挖出螃蟹体内的蟹黄和蟹肉,Usa una cuchara para sacar el coral y la carne del cuerpo del cangrejo,Use uma colher para tirar o ovas e a carne do corpo do caranguejo,Usa un cucchiaio per estrarre la polpa e la carne dal corpo del granchio,"Verwenden Sie einen Löffel, um den Rogen und das Fleisch aus dem Körper der Krabbe zu schöpfen",Utilisez une cuillère pour extraire le corail et la chair du corps du crabe,"Используйте ложку, чтобы достать икру и мясо из тела краба"
STRING_EATING_CRAB_3,Use a hammer to crack the crab claws,Dùng búa để đập vỡ càng cua,ハンマーを使ってカニの爪を割る,망치로 게의 집게발을 깨다,用锤子敲碎螃蟹的钳子,Usa un martillo para romper las pinzas del cangrejo,Use um martelo para quebrar as garras do caranguejo,Usa un martello per rompere le chele del granchio,"Verwenden Sie einen Hammer, um die Krabbenscheren zu knacken",Utilisez un marteau pour casser les pinces du crabe,"Используйте молоток, чтобы расколоть клешни краба"
STRING_EATING_CRAB_4,Use a stick to extract the meat from the crab legs,Dùng que để lấy thịt trong chân cua, 棒を使ってカニの脚から肉を取り出す,막대를 사용하여 게 다리에서 살을 빼내다,用棍子取出蟹腿中的肉,Usa un palo para extraer la carne de las patas del cangrejo,Use um palito para extrair a carne das pernas do caranguejo,Usa un bastoncino per estrarre la carne dalle zampe del granchio,"Verwenden Sie einen Stock, um das Fleisch aus den Krabbenbeinen zu entnehmen",Utilisez un bâton pour extraire la chair des pattes de crabe,"Используйте палочку, чтобы достать мясо из ножек краба"
STRING_WITCH_SOUP_1,Drop the ingredients into the pot to cook,Thả các nguyên liệu vào nồi nấu,材料を鍋に入れて調理する,재료를 냄비에 넣어 요리하다,把食材放入锅中煮,Coloca los ingredientes en la olla para cocinar,Coloque os ingredientes na panela para cozinhar,Metti gli ingredienti nella pentola per cucinare,Geben Sie die Zutaten in den Topf zum Kochen,Mettez les ingrédients dans la casserole pour cuisiner,Положите ингредиенты в кастрюлю для приготовления
STRING_WITCH_SOUP_2,Light the fire with a match,Nhóm lửa bằng diêm,マッチで火をつける,성냥으로 불을 붙이다,用火柴点火,Enciende el fuego con una cerilla,Acenda o fogo com um fósforo,Accendi il fuoco con un fiammifero,Zünde das Feuer mit einem Streichholz an,Allumez le feu avec une allumette,Зажгите огонь спичкой
STRING_ARTIST_BOX_1,"Arrange the drawing tools in place, then use a paper towel to clean off the old paint","Sắp xếp các dụng cụ vẽ vào vị trí, sau đó dùng khăn giấy để lau sạch màu vẽ cũ",描画ツールを所定の位置に配置し、ペーパータオルで古い絵の具を拭き取る,"그림 도구를 제자리에 놓고, 종이 타월로 오래된 페인트를 닦아내세요",将绘画工具放好，然后用纸巾擦掉旧颜料,"Coloca las herramientas de dibujo en su lugar, luego usa una toalla de papel para limpiar la pintura vieja",Arrume as ferramentas de desenho no lugar e depois use uma toalha de papel para limpar a tinta antiga,"Sistema gli strumenti da disegno al loro posto, poi usa un tovagliolo di carta per pulire la vernice vecchia","Ordnen Sie die Zeichenwerkzeuge an ihrem Platz an und verwenden Sie dann ein Papiertuch, um die alte Farbe zu reinigen","Disposez les outils de dessin en place, puis utilisez un essuie-tout pour nettoyer l'ancienne peinture","Расставьте инструменты для рисования на месте, затем используйте бумажное полотенце, чтобы очистить старую краску"
STRING_ORGANIZE_GHOST_PICTURE_1,Reassemble and tape around the cut painting,Ghép lại và dán băng keo xung quanh bức tranh bị cắt,切り取られた絵を再び組み立てて、周りにテープを貼る,잘린 그림을 다시 맞추고 테이프로 둘러 붙이다,重新拼接并在切割的画周围贴上胶带,Vuelve a montar y pega cinta alrededor de la pintura cortada,Reúna novamente e coloque fita ao redor da pintura cortada,Riassembla e applica del nastro intorno al dipinto tagliato,Setzen Sie das Bild wieder zusammen und kleben Sie es rundherum mit Klebeband ab,Réassemblez et mettez du ruban adhésif autour de la peinture découpée,Соберите картину заново и обклейте лентой вокруг разреза
STRING_CLEAN_KEYBOARD_1,"Clean the keyboard following the steps, then put the remaining keys back in their correct positions","Làm sạch bàn phím theo các bước, sau đó lắp các phím còn lại vào đúng vị trí",手順に従ってキーボードを掃除し、残りのキーを正しい位置に戻します,단계를 따라 키보드를 청소한 후 나머지 키를 올바른 위치에 다시 끼우세요,按照步骤清洁键盘，然后将剩余的键放回正确的位置,"Limpia el teclado siguiendo los pasos, luego coloca las teclas restantes en sus posiciones correctas","Limpe o teclado seguindo os passos, depois coloque as teclas restantes em suas posições corretas","Pulisci la tastiera seguendo i passaggi, poi rimetti i tasti rimanenti nelle loro posizioni corrette",Reinigen Sie die Tastatur gemäß den Schritten und setzen Sie dann die verbleibenden Tasten an die richtigen Stellen zurück,"Nettoyez le clavier en suivant les étapes, puis remettez les touches restantes à leur place correcte","Очистите клавиатуру по шагам, затем вставьте оставшиеся клавиши на их правильные места"
STRING_MAKE_KIMPAP_1,Make kimbap following the steps,Làm kimbap theo các bước,手順に従ってキンパを作る,단계를 따라 김밥을 만들다,按步骤制作紫菜包饭,Haz kimbap siguiendo los pasos,Faça kimbap seguindo os passos,Prepara il kimbap seguendo i passaggi,Bereiten Sie Kimbap nach den Schritten zu,Faites du kimbap en suivant les étapes,Приготовьте кимбап по шагам
STRING_MAKE_KIMPAP_2,"Then cut the kimbap with a knife, arrange it on a plate, and mix two dipping sauces in a bowl","Sau đó cắt kimbap bằng dao, sắp lên đĩa và trộn hai loại sốt chấm vào chén",次に、キンパを包丁で切り、皿に並べ、2種類のディッピングソースをボウルで混ぜる,그런 다음 김밥을 칼로 자르고 접시에 배열한 후 두 가지 소스를 그릇에 섞는다,然后用刀切紫菜包饭，摆在盘子上，将两种蘸酱混合在碗里,"Luego corta el kimbap con un cuchillo, colócalo en un plato y mezcla dos salsas en un tazón","Em seguida, corte o kimbap com uma faca, organize no prato e misture dois molhos em uma tigela","Quindi taglia il kimbap con un coltello, disponilo su un piatto e mescola due salse in una ciotola","Schneiden Sie dann das Kimbap mit einem Messer, legen Sie es auf einen Teller und mischen Sie zwei Saucen in einer Schüssel","Ensuite, coupez le kimbap avec un couteau, disposez-le sur une assiette et mélangez deux sauces dans un bol","Затем нарежьте кимбап ножом, выложите на тарелку и смешайте два соуса в миске"
STRING_CHRISTMAS_NAIL_1,Do not cut the nails too deep into the fingers,Đừng cắt móng quá sâu vào ngón tay,爪を指に深く切りすぎないでください,손톱을 손가락 깊숙이 자르지 마세요,不要把指甲剪得太深入手指,No cortes las uñas demasiado profundo en los dedos,Não corte as unhas muito profundamente nos dedos,Non tagliare le unghie troppo a fondo nelle dita,Schneiden Sie die Nägel nicht zu tief in die Finger,Ne coupez pas les ongles trop profondément dans les doigts,Не подстригайте ногти слишком глубоко на пальцах
STRING_CHIRSTMAS_GIFT_1,1. Arrange the gifts in the correct position.,1. Sắp xếp quà tặng vào đúng vị trí,1. プレゼントを正しい場所に並べよう,1. 선물을 올바른 위치에 정리하세요,1. 将礼物放到正确的位置,1. Coloca los regalos en el lugar correcto,1. Organize os presentes no lugar certo,1. Organizza i regali nel posto giusto,1. Ordne die Geschenke an den richtigen Ort,1. Rangez les cadeaux à leur place,1. Разместите подарки на нужные места
STRING_CHIRSTMAS_GIFT_2,2. Close the box lid and complete.,2. Đậy nắp hộp và hoàn thành,2. 箱の蓋を閉めて完成させよう,2. 상자의 뚜껑을 닫고 완료하세요,2. 盖上盒子，完成任务,2. Cierra la caja y completa,2. Feche a caixa e finalize,2. Chiudi il coperchio della scatola e completa,2. Schließe den Deckel der Box und beende,2. Fermez la boîte et terminez,2. Закройте крышку коробки и завершите
STRING_CLEAN_TEDDY_BEAR_1,Use tools step by step to clean the teddy bear,Lần lượt dùng các công cụ để giặt sạch gấu bông,道具を順番に使ってぬいぐるみをきれいにする,도구를 차례로 사용하여 곰인형을 깨끗이 세탁하세요,依次使用工具清洗泰迪熊,Usa herramientas paso a paso para limpiar el oso de peluche,Use as ferramentas passo a passo para limpar o ursinho de pelúcia,Usa gli strumenti passo dopo passo per pulire l'orsacchiotto,"Verwenden Sie Schritt für Schritt Werkzeuge, um den Teddybären zu reinigen",Utilisez les outils étape par étape pour nettoyer l'ours en peluche,"Используйте инструменты поэтапно, чтобы почистить плюшевого медведя"
STRING_CLEAN_TEDDY_BEAR_2,Dry the teddy bear using a dryer,Sấy khô gấu bông bằng máy sấy,ぬいぐるみを乾燥機で乾かす,드라이어로 곰인형을 말리세요,用烘干机烘干泰迪熊,Seca el oso de peluche usando una secadora,Seque o ursinho de pelúcia usando um secador,Asciuga l'orsacchiotto usando un'asciugatrice,Trocknen Sie den Teddybären mit einem Trockner,Séchez l'ours en peluche avec un sèche-linge,Высушите плюшевого медведя с помощью сушилки
STRING_SNOW_MAIN_HINT_1,1. Drag the trash out and drag the snow into the space.,1. Kéo rác ra ngoài và kéo tuyết vào khoảng trống,1. ゴミを外に引き出して、雪を空間に引き入れます。,1. 쓰레기를 밖으로 끌어내고 눈을 빈 공간으로 끌어오세요.,1. 将垃圾拖出，将雪拖入空位。,1. Arrastra la basura hacia afuera y la nieve al espacio.,1. Arraste o lixo para fora e a neve para o espaço.,1. Trascina la spazzatura fuori e la neve nello spazio.,1. Ziehe den Müll nach draußen und den Schnee in den Raum.,1. Faites glisser les déchets vers l'extérieur et la neige dans l'espace.,1. Вытяните мусор наружу и переместите снег в пустое место.
STRING_SNOW_MAIN_HINT_2,2. Press and hold the snow pile to shape it.,2. Nhấn giữ đống tuyết để nặn,2. 雪の山を押し続けて形を作ります。,2. 눈 더미를 눌러 모양을 만드세요.,2. 按住雪堆进行塑形。,2. Mantén presionado el montón de nieve para darle forma.,2. Pressione e segure o monte de neve para moldá-lo.,2. Premi e tieni premuto il mucchio di neve per modellarlo.,"2. Halte den Schneehaufen gedrückt, um ihn zu formen.",2. Maintenez le tas de neige enfoncé pour le modeler.,"2. Нажмите и удерживайте сугроб, чтобы придать ему форму."
